Timestamp,Open,High,Low,Close,Volume__BTC_,Volume__Currency_,Weighted_Price
1491004800,1071.34,1071.34,1070.31,1070.31,0.16747734,179.28942354,1070.5294432
1491004860,1070.93,1070.93,1070.55,1070.55,0.92858,994.167319,1070.6318454
1491004920,1070.62,1071.03,1070.62,1070.69,7.68834,8233.6525399,1070.9272144
1491004980,1070.69,1071.34,1070.69,1071.34,9.31783,9981.2748666,1071.2016496
1491005040,1071.34,1073.59,1071.33,1073.59,1.326443,1422.7345029,1072.5937736
1491005100,1071.35,1073.09,1070.7,1073.09,42.54534,45576.444773,1071.2441074
1491005160,1073.08,1073.08,1072.4,1072.88,0.07561,81.0971788,1072.5721307
1491005220,1072.3,1072.3,1071.03,1071.03,0.42748,458.0933137,1071.6134409
1491005280,1071.03,1071.5,1070.7,1070.7,0.71438931,764.93236865,1070.750021
1491005340,1071.21,1072.56,1071.11,1071.11,0.613,656.72376573,1071.3275134
1491005400,1072,1072,1072,1072,1.87538042,2010.4078102,1072
1491005460,1072.88,1076.84,1072.88,1076.84,4.3948,4728.004309,1075.817855
1491005520,1075.32,1075.32,1073.79,1074.49,3.08202129,3311.9037511,1074.5882132
1491005580,1073.79,1076.35,1072.98,1076.35,23.86793261,25639.155715,1074.2093224
1491005640,1074.33,1074.33,1073,1073,25.028,26859.918606,1073.1947661
1491005700,1074,1074,1074,1074,5.3724011,5769.9587814,1074
1491005760,1073.99,1074,1073.99,1074,11.5,12350.977,1073.998
1491005820,1073.99,1073.99,1073.99,1073.99,12.08204,12975.99014,1073.99
1491005880,1074,1074,1074,1074,0.56041087,601.88127438,1074
1491005940,1073.99,1074,1073,1073,56.87385538,61073.456381,1073.8406245
1491006000,1073.99,1073.99,1073.99,1073.99,0.05946601,63.86590008,1073.99
1491006060,1073.99,1073.99,1073.99,1073.99,1.43799606,1544.3933885,1073.99
1491006120,nan,nan,nan,nan,nan,nan,nan
1491006180,1073.99,1073.99,1073.99,1073.99,0.06834306,73.399763009,1073.99
1491006240,1073.97,1073.97,1073.97,1073.97,0.0887158,95.278107726,1073.97
